Bin	X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
932_SemiBin_102	520.012760593166	388.941763236281	459.072859837394	319.222771240054	422.286923128312	430.032536121249	486.947430387492	510.878442952226	477.001096351324	493.491465112769	582.088483569913	464.079623588245	409.748571888046	624.282215801318	417.678776686566	384.092359787094	510.981240771173	471.607733323706	444.976382522123	535.466838458613	423.91953225452	470.413551919554	616.541752479957	262.379841360685	637.494112061059	467.931263487039	437.770548232285	500.556477604496	641.576866904837	565.40788848029	678.744733267582	429.200340200639	318.999135174192	333.826270803497	305.660502798643	338.551253960775	496.38198860477	444.13964687653	417.352080608133	515.708762105198	341.041407053808	348.327648142708	312.983060059159	0	525.055407186058	443.132663533811	510.829267974156	455.879458278217	450.90443098132	427.677906330955	428.939549377672	406.211367285043	459.259590228172	467.630215293103	439.931703444363	597.558237776418	473.26541719785	536.607165146641	594.397104813874	463.212606318967
932_SemiBin_106	1044.12465514639	876.963769537146	846.084588657146	1218.77902178486	1205.69952183252	735.477238910276	1050.8043010527	1220.99583278207	1513.69289748864	1447.08861883072	1280.91425846371	1093.89620050197	1314.03152687044	941.072186331532	1587.87962714864	1057.83768330141	1405.07286144758	1335.23352290724	1028.45124374016	1208.46197008823	974.120377590691	674.916354636669	1074.51516664647	1165.43029703066	990.285392840923	838.180916124829	799.490066063511	964.040989985347	1141.97057746249	807.020629921196	1182.47484489015	1190.86856116486	979.655183686483	1094.48217577623	708.687807080472	686.293286790345	1063.38849933065	1022.3927134403	1101.09020624858	742.869855016595	378.860422132905	843.759331885515	944.136352992788	462.516989344214	1148.38456256523	833.396759513796	1044.45623742583	1361.46584247001	1280.6156571028	1401.01445281942	1168.51155794425	1474.82748081299	1285.26192225744	1067.69443073798	918.717676463996	940.472405438166	1266.92923756156	886.064020126224	1014.83913474993	1559.29487306116
932_SemiBin_124	1625.18943264267	1162.64802061808	1371.72691028499	1220.89555777527	1413.56959354802	999.762728492662	1205.60455552546	1340.41576979267	1141.82913522126	1083.09969891302	1119.95842556044	1291.22461647563	1098.20517546974	853.690833239321	1144.83864893932	834.636066504993	1155.52037800853	1308.6698165213	1218.44499398615	1531.258306598	1209.73620481512	1616.17609226331	1627.05024576288	851.910713301128	915.547402033424	849.510047566398	1113.13251112406	1441.34053100719	1250.70126344598	1368.03557083843	1180.20084642707	818.192626964212	629.039153903695	934.849374261624	1009.61158594307	1263.88234819989	1049.28496013281	1410.54193638426	1085.06559540678	778.300863658827	772.365916385216	713.370270924153	924.285337656272	557.815431766007	1120.99252307431	1034.95099747932	1086.2615321905	1211.9562564799	1212.0201100431	1458.47020772779	1208.24676502989	1052.27705632298	1196.51203631055	826.577168285236	1329.8513112377	1089.23887051374	1203.22044677064	984.598381050527	1176.12290797655	1249.39284997718
932_SemiBin_153	1058.50303333983	1801.03477910038	1263.89203609027	550.469147836337	1809.50629230883	640.550410427171	930.578712177896	1267.61841342885	632.750441365986	728.854370497933	568.646057378918	906.261749439255	612.877320077716	398.089482907122	599.629674715326	529.986693100221	1211.89374182779	1051.50774049964	880.506256828046	952.152562329839	944.77410492008	462.271235678924	887.281352897626	890.119800627814	848.156879623984	785.274477205111	606.413982013152	1790.1025959789	1115.90433817721	442.77890383674	571.439450344632	659.907921466486	610.607799907835	634.494717041986	612.232355230969	1285.39513172023	642.631652222193	501.974307585653	777.985430393703	371.305168769835	0	559.990577119114	442.876010091861	674.173291801081	579.588075201186	776.160677708733	719.157046917164	689.81682544988	1121.07642397233	1026.03686376954	944.221052660661	697.081605099824	920.131725671401	918.481981568702	538.464818041752	1245.69848761357	876.369923840964	781.657546570915	582.695354161644	653.625213765344
932_SemiBin_172	2617.93799109194	1475.54269965878	800.251657412293	1224.67534974013	996.637744040222	1288.24554649716	1167.37956564197	939.138913254189	1760.10988727323	1254.38228164463	1326.22596274723	927.253615416062	1196.70031911051	813.640112811067	1583.36646566642	941.707387667802	1113.84006214238	692.776603028979	631.845429065111	910.861077821778	707.091448865598	566.881346246804	1213.06444832776	1209.92562821067	767.505979329495	699.608362716527	701.24472076303	455.086083403717	1068.53759499417	659.991449236399	1019.16926764126	884.774125862877	813.750961761277	984.20099496214	625.662491741256	418.512309924449	802.065946730087	648.175539469597	1125.19874704942	1231.09269843725	430.995275866692	999.492075475891	1037.75301489106	202.557617404126	1184.5773066323	642.596529366853	870.159402860162	1218.80756347449	1060.98749107466	1156.30606692929	1089.85356805966	1302.37525464645	1111.24698027202	785.743394766497	642.971954532531	735.26332818693	1466.26950620198	1161.69398008333	1009.80129087971	1625.5187177488
932_SemiBin_176	792.207069811051	487.110977512049	427.94439883394	162.518860989385	666.496899074507	467.216128148994	292.242058742439	309.234092763813	654.769500930885	438.187624714182	841.660816592238	1051.48912968658	538.500018936818	354.194119874196	453.132115500227	436.896830588368	351.575590526782	419.807475461117	350.037187591977	413.770746802515	299.111678005436	387.516841461872	641.80388468771	139.967699110539	0	309.127384430631	0	231.360685957412	391.530774816147	192.762371553695	476.548895267001	327.556169963984	392.728568942015	399.674307450619	177.623970323673	492.726192441504	426.507209591303	806.76845192584	436.684912111206	510.497166668676	0	259.371293049592	433.062217706805	0	512.775663920762	894.908562571305	411.391867113799	716.486668961843	486.819850580599	148.818452379358	612.461265947975	387.486972876238	301.954705195861	158.278357655247	523.684742836719	188.441561915728	439.425050045589	495.617403588298	523.566246756875	464.788609667952
932_SemiBin_178	0	0	0	0	0	0	222.589482426481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206.183646920465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.044602201838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
932_SemiBin_216	418.010763732215	757.570383671764	324.97470507638	420.789449265564	303.966882875949	0	742.959506366693	435.894667842776	503.948393740885	249.921077989673	233.083436691709	309.988252787111	728.386520431536	0	402.055997671099	183.589953609901	166.10896165574	800.53317700229	94.27788098042	0	195.825363250875	473.575688148057	443.420045135153	141.071861724909	0	329.928429148605	469.052303881827	446.705720796361	314.406339867813	783.424483199088	438.857015556077	430.191616972528	0	375.259918341525	401.676461134981	350.630749148408	705.057787585085	444.951518116879	124.520495312637	258.546860601776	254.006542585129	107.221157215782	191.788081121335	0	513.483725291272	386.528622897461	396.880913093565	471.872359625535	507.142326837222	0	163.804225387017	0	196.252812479084	231.824715273462	418.352498425735	407.517389373864	288.824614853497	262.741253090038	344.119691959887	178.842269090437
932_SemiBin_237	4429.76446913178	4014.46729265287	5403.66051775378	6157.2086416142	4631.92059105304	4184.55063645896	4981.27069644701	4888.46466780074	6593.09904578768	5671.71711035863	5980.11136916439	6560.03256141369	5442.75885617902	4146.8541231933	5934.96202222568	4640.88821560521	5071.16926342636	6830.51160680843	3837.08243528979	5721.88530786577	4276.88565647478	5755.36421981405	6245.94191420763	3693.63513938773	3685.06899990377	5549.03168956528	5654.85342317169	4280.37184887616	4671.1250905077	6133.58978641101	7084.28599128662	5394.12238334749	3619.83209399817	5401.32857675994	4471.88258723028	3415.11181847036	5177.2297247101	5300.03803774691	4162.08519627565	5615.04175269229	4225.9086534463	3853.5573222988	4743.10911118523	3272.26775070961	6129.62927869543	4728.91010503051	5771.10199719716	6483.07655813612	5877.66304617419	4803.41092200703	4858.84140028356	5085.24410644981	5630.44019013981	5329.74085965048	5548.70072044611	4397.71957266685	6146.88129579447	4514.15164309606	5122.64100131534	6845.98844548729
933_SemiBin_193	1257.23137639925	1434.46603095567	1247.53623323222	1246.03203283271	1368.33503385984	1015.76650030284	1479.82581294711	1360.75717192127	1381.30791493435	1580.38759943481	1424.39965007902	1328.05231922087	1156.67393039451	792.141853424174	1564.44756454988	1474.81790574167	1478.73021857397	1448.94587980022	1236.66643276186	1432.87716376113	1592.71229706891	1140.49777223964	1596.58316947472	1147.27624743283	1111.61467812383	1031.52078289242	1463.3529371053	1068.5326987127	1481.34034412867	1232.2828869702	1278.45701035954	1303.40174101489	1277.17693160811	948.334599028606	667.807698733366	873.678771717101	1216.54788723273	1525.15532948248	1498.8894821104	689.472968712449	344.231753550829	1060.48776364044	1107.62897664072	0	1344.83418503366	1165.77399419327	1287.51515694725	1425.93027551864	1106.09943672229	1835.42472182654	1199.58169785546	1117.01581393593	1723.25322374854	1035.71379899681	1005.34254471503	1164.40630736977	1198.67859511076	1415.88999427167	1313.78237739991	1383.33500474808
