MAG	Control
932_SemiBin_102	468.397486181483
932_SemiBin_106	1052.10983083711
932_SemiBin_124	1089.92741654821
932_SemiBin_153	739.55450571507
932_SemiBin_172	993.211482134546
932_SemiBin_176	389.99551415095
932_SemiBin_178	6.65108538453113
932_SemiBin_216	306.477336464777
932_SemiBin_237	5156.12545810017
933_SemiBin_193	1199.57870546121
933_SemiBin_252	704.613209920105
934_SemiBin_124	381.562784081054
935_SemiBin_113	1195.38600873862
935_SemiBin_192	1096.5759581865
935_SemiBin_210	268.735309172618
935_SemiBin_236	744.195563605899
935_SemiBin_68	2762.21795863124
935_SemiBin_76	566.605450165901
937_SemiBin_148	2089.33322079131
937_SemiBin_159	512.942171305762
938_SemiBin_99	717.510382926076
939_SemiBin_272	503.528805505835
939_SemiBin_87	644.840220523096
940_SemiBin_253	1104.07799665864
941_SemiBin_237	1056.7368673029
941_SemiBin_67	771.313626227329
944_SemiBin_44	2382.61403365034
945_SemiBin_110	761.47497642616
945_SemiBin_185	304.205431082037
945_SemiBin_201	1433.05010534022
945_SemiBin_23	418.224252362341
945_SemiBin_50	1457.47281668046
946_SemiBin_182	685.462649127537
946_SemiBin_296	2541.21028919905
946_SemiBin_333	944.322184247619
946_SemiBin_374	1108.69659740773
947_SemiBin_204	1466.56863305215
947_SemiBin_8	979.707573179995
947_SemiBin_9	6672.59086314549
948_SemiBin_209	1621.36813440885
949_SemiBin_129	388.127874874565
950_SemiBin_52	578.465865371382
951_SemiBin_21	120.572632174738
951_SemiBin_94	860.430454763282
953_SemiBin_322	3385.70476247412
954_SemiBin_108	385.416965401315
954_SemiBin_2	393.376198806717
954_SemiBin_221	562.673534271491
954_SemiBin_346	420.294270249916
954_SemiBin_8	579.793310845758
955_SemiBin_146	599.804766961596
955_SemiBin_256	893.475810355647
956_SemiBin_125	923.73916348981
956_SemiBin_137	1073.69449404839
956_SemiBin_187	1708.83623422693
956_SemiBin_215	1232.48660102908
957_SemiBin_343	333.74538283023
957_SemiBin_50	1234.51812253426
958_SemiBin_114	1165.41020034483
959_SemiBin_129	292.750683322334
960_SemiBin_14	585.193215072576
960_SemiBin_192	731.436322484291
960_SemiBin_248	343.418247009754
960_SemiBin_428	536.630115993516
960_SemiBin_641	859.102929048406
960_SemiBin_66	554.984144693329
961_SemiBin_68	2310.61805632228
962_SemiBin_32	90.0716332564641
962_SemiBin_52	734.858090177446
962_SemiBin_76	171.896712591901
963_SemiBin_255	1745.65149242066
964_SemiBin_111	1009.64866320162
964_SemiBin_528	629.671858504505
965_SemiBin_146	4170.79543079422
966_SemiBin_49	550.613389824448
966_SemiBin_69	1440.2532588858
966_SemiBin_91	872.3847846312
966_SemiBin_95	1212.37948901943
967_SemiBin_89	2804.99414456805
968_SemiBin_116	483.360758064932
968_SemiBin_131	1787.6506408815
968_SemiBin_24	365.59789650667
968_SemiBin_313	906.187087786776
968_SemiBin_85	719.307254934064
968_SemiBin_97	752.784753646738
969_SemiBin_208	1655.75505309543
969_SemiBin_225	671.373207774477
969_SemiBin_466	330.013953287529
970_SemiBin_111	1301.90397781923
970_SemiBin_149	512.805773125151
970_SemiBin_53	492.964386254207
970_SemiBin_87	452.320381949905
972_SemiBin_102	536.584121592223
972_SemiBin_103	602.553797129631
973_SemiBin_207	483.041461442277
973_SemiBin_307	2100.83628073251
973_SemiBin_32	189.852110247805
973_SemiBin_47	1768.61342813158
974_SemiBin_118	403.650139415117
974_SemiBin_337	660.606587745766
975_SemiBin_73	894.396920085293
976_SemiBin_228	724.711968453275
976_SemiBin_24	6336.2740666183
976_SemiBin_36	685.640856702445
978_SemiBin_64	494.85964453747
981_SemiBin_196	740.345858560346
981_SemiBin_432	714.586967465659
983_SemiBin_12	1320.09099831418
983_SemiBin_128	97.5951240153763
983_SemiBin_133	985.658159727043
983_SemiBin_140	1016.77372049266
983_SemiBin_151	1490.2817004354
983_SemiBin_265	1253.14016338022
983_SemiBin_276	4211.85718405458
983_SemiBin_309	877.493927129248
983_SemiBin_321	216.20476648171
983_SemiBin_75	923.77840075225
984_SemiBin_54	384.695208541405
985_SemiBin_129	1056.69795602342
986_SemiBin_101	1130.0095128774
986_SemiBin_166	757.811945955357
987_SemiBin_26	894.499179043061
988_SemiBin_105	1685.61476855995
988_SemiBin_31	480.44650417725
990_SemiBin_269	897.63624233854
991_SemiBin_110	397.942691520971
991_SemiBin_113	1171.6548014605
991_SemiBin_141	2704.29558920748
991_SemiBin_49	1353.03047252315
991_SemiBin_80	227.442708906396
992_SemiBin_141	406.154311221191
992_SemiBin_233	2102.77111743343
992_SemiBin_359	476.886424465799
993_SemiBin_0	2121.58370852907
993_SemiBin_156	1615.64485607721
993_SemiBin_2	592.620919432343
IsollateEukC-trimmed-reads.medaka	463.336780161682
MEGAHIT-MetaBAT2-S932.114	683.054916014232
MEGAHIT-MetaBAT2-S932.132	1333.38419718459
MEGAHIT-MetaBAT2-S932.178	748.652120509573
MEGAHIT-MetaBAT2-S932.184	391.498269530488
MEGAHIT-MetaBAT2-S932.23	452.612566439992
MEGAHIT-MetaBAT2-S932.36	1379.88838669229
MEGAHIT-MetaBAT2-S932.53	1255.76272463492
MEGAHIT-MetaBAT2-S932.72	1462.129953272
MEGAHIT-MetaBAT2-S932.87	519.554833297644
MEGAHIT-MetaBAT2-S933.133	1971.21650113143
MEGAHIT-MetaBAT2-S933.139	135.532688265122
MEGAHIT-MetaBAT2-S933.151	484.207545435858
MEGAHIT-MetaBAT2-S933.161	1706.77882380128
MEGAHIT-MetaBAT2-S933.63	308.429666685017
MEGAHIT-MetaBAT2-S933.74	392.881441411832
MEGAHIT-MetaBAT2-S934.132	825.42823104042
MEGAHIT-MetaBAT2-S934.40	542.81682294777
MEGAHIT-MetaBAT2-S935.158	92.4253484780347
MEGAHIT-MetaBAT2-S935.32	312.468054849032
MEGAHIT-MetaBAT2-S935.50	456.549292297127
MEGAHIT-MetaBAT2-S935.60	2784.15810248103
MEGAHIT-MetaBAT2-S935.62	571.679378692071
MEGAHIT-MetaBAT2-S935.70	634.021672723624
MEGAHIT-MetaBAT2-S937.157	778.523160132091
MEGAHIT-MetaBAT2-S937.160	299.691285898001
