DATASET_COLORSTRIP
SEPARATOR	TAB
DATASET_LABEL	Phylum_Colors
COLOR	#ff0000
COLOR_BRANCHES	1
LEGEND_TITLE	Phylum	Colors
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#1f77b4	#ff7f0e	#2ca02c	#d62728	#e0ba1d	#dd3cf6	#9467bd	#8c564b	#e377c2	#7f7f7f	#bcbd22	#17becf	#aec7e8	#ffbb78	#98df8a	#ff9896	#c5b0d5	#c49c94	#f7b6d2	#dbdb8d
LEGEND_LABELS	Spirochaetota	Bacillota_A	Bacteroidota	Bacillota_I	Methanobacteriota	Thermoplasmatota	Elusimicrobiota	Bacillota	Pseudomonadota	Myxococcota	Verrucomicrobiota	Desulfobacterota	Actinomycetota	Bacillota_C	Fibrobacterota	Bacillota_B	Patescibacteria	Eremiobacterota	Cyanobacteriota	Planctomycetota
LEGEND_POSITION_X	100
LEGEND_POSITION_Y	180
SHOW_LABELS	0
SHOW_STRIP_LABELS	0
STRIP_WIDTH	7
DATA
MEGAHIT-MetaBAT2-S945.11	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S970.199	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S988.167	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S964.207	#ff7f0e	Bacillota_A
group10_bins.221	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S932.114	#2ca02c	Bacteroidota
group9_bins.244	#1f77b4	Spirochaetota
group9_bins.268	#ff7f0e	Bacillota_A
976_SemiBin_36	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S982.27	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S934.132	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S944.121	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S932.178	#2ca02c	Bacteroidota
group7_bins.83	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S957.114	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S970.241	#2ca02c	Bacteroidota
956_SemiBin_137	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S993.160	#ff7f0e	Bacillota_A
993_SemiBin_156	#ff7f0e	Bacillota_A
group6_bins.257	#e0ba1d	Methanobacteriota
951_SemiBin_94	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S988.19	#d62728	Bacillota_I
954_SemiBin_2	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S955.19	#ff7f0e	Bacillota_A
991_SemiBin_49	#1f77b4	Spirochaetota
MEGAHIT-MetaBAT2-S935.70	#d62728	Bacillota_I
MEGAHIT-MetaBAT2-S937.160	#ff7f0e	Bacillota_A
955_SemiBin_256	#ff7f0e	Bacillota_A
960_SemiBin_248	#d62728	Bacillota_I
group8_bins.151	#8c564b	Bacillota
964_SemiBin_528	#e377c2	Pseudomonadota
960_SemiBin_14	#ffbb78	Bacillota_C
group9_bins.264	#ffbb78	Bacillota_C
MEGAHIT-MetaBAT2-S962.80	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S973.86	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S949.157	#ffbb78	Bacillota_C
MEGAHIT-MetaBAT2-S988.179	#2ca02c	Bacteroidota
group10_bins.149	#1f77b4	Spirochaetota
group6_bins.67	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S959.123	#2ca02c	Bacteroidota
group9_bins.40	#ff7f0e	Bacillota_A
MEGAHIT-MetaBAT2-S962.33	#ff7f0e	Bacillota_A
group4_bins.47	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S958.133	#ffbb78	Bacillota_C
947_SemiBin_8	#2ca02c	Bacteroidota
MEGAHIT-MetaBAT2-S962.8	#ff7f0e	Bacillota_A
