"Bin"	"X932"	"X933"	"X934"	"X935"	"X937"	"X938"	"X939"	"X940"	"X941"	"X942"	"X943"	"X944"	"X945"	"X946"	"X947"	"X948"	"X949"	"X950"	"X951"	"X952"	"X953"	"X954"	"X955"	"X956"	"X957"	"X958"	"X959"	"X960"	"X961"	"X962"	"X963"	"X964"	"X965"	"X966"	"X967"	"X968"	"X969"	"X970"	"X971"	"X972"	"X973"	"X974"	"X975"	"X976"	"X978"	"X979"	"X980"	"X981"	"X982"	"X983"	"X984"	"X985"	"X986"	"X987"	"X988"	"X989"	"X990"	"X991"	"X992"	"X993"
"1"	"932_SemiBin_102"	18.044811766652	17.2068302258751	17.6851655114243	16.6368536720843	17.4441676141118	17.4966118164767	17.8552505258491	17.9936780291796	17.7957038845371	17.893768570792	18.3701935866918	17.7164637867727	17.3571988145311	18.5721128167407	17.4125083259946	17.170628691987	17.994258560297	17.7628936171075	17.5951771975557	18.1293118740233	17.4553012888331	17.7555781444157	18.5361133706389	16.0710470995995	18.6325399639018	17.7403122113066	17.5480697035411	17.9347838514933	18.6509601324965	18.2863009155107	18.8134537077949	17.4910226504595	16.6348315823702	16.7659203125208	16.5115881019743	16.8064734923192	17.910619770189	17.5897464165336	17.4102505884349	18.0208309195736	16.8276186087254	16.8886142497187	16.5798962563724	0	18.0726569590405	17.5831970715353	17.9934002815442	17.6650241283361	17.6333628498569	17.4807696272404	17.4892689056471	17.3321823469257	17.6863389153901	17.7384552782179	17.5622789778726	18.4458750686518	17.7730178291966	18.1354500269762	18.4305706405818	17.711068136857
"2"	"932_SemiBin_106"	20.0561578157575	19.5527487376278	19.449318207472	20.5024426865286	20.4713103838922	19.0450764357209	20.0745578972862	20.5076860899636	21.1277142724858	20.9978758069599	20.6459172648813	20.1905214703861	20.7195691846602	19.7563247910801	21.2657722411624	20.0938064074997	20.9128591896256	20.7657535408257	20.0125167352577	20.4779137025463	19.8559140306162	18.7971329740935	20.1389415115986	20.3732950739339	19.9034025687516	19.4222377815995	19.2858748523142	19.8259029110764	20.3146206367316	19.312925702073	20.4151885872045	20.435597963619	19.8722619683385	20.1920666929957	18.9380157076617	18.845365927686	20.108907382556	19.9954688683009	20.2094350908594	19.0739339618556	17.1310553022101	19.4413775123803	19.7657044578319	17.706731843973	20.3307813473081	19.4057214375892	20.0570739817097	20.8218909223761	20.6452445568418	20.9045129816083	20.3809136341797	21.0526616403494	20.6556942322356	20.1205674616313	19.6869572626796	19.7544852386701	20.6142413624466	19.5825360981613	19.9740720892107	21.2133567168647
"3"	"932_SemiBin_124"	21.3327848934938	20.366398441117	20.8435559194879	20.5074491160201	20.9302551160966	19.930885310616	20.4710831088217	20.7769305019828	20.314263236102	20.1619018963034	20.2584600763128	20.6690494109626	20.2018649962238	19.4751417350997	20.3218582347845	19.4100089786519	20.3486550547396	20.7077717007738	20.5016517868426	21.1610045252236	20.480954530305	21.3167379158446	21.3360867228837	19.4691188334121	19.6769832662937	19.4609764005873	20.2408204262357	20.9863917173892	20.5770439623676	20.8357808257927	20.4096344013635	19.3525956078819	18.5940156635419	19.7371818950718	19.9591707274455	20.6072938179111	20.0703829433059	20.9240684121904	20.1671343156099	19.2083706772915	19.1862838004072	18.9570174025232	19.7043906626384	18.2472927092059	20.2611230284378	20.0306948384016	20.1703127786905	20.4862448077307	20.4863968243222	21.0204810805684	20.4773998217395	20.0785990821756	20.4492393965199	19.3820135194088	20.7540992832673	20.1782105299942	20.4653715430147	19.8867846025093	20.3996472793413	20.5740238511213
"4"	"932_SemiBin_153"	20.095620664283	21.6292210957901	20.6073159348575	18.2090405552073	21.6427612589189	18.6463401219588	19.7239704145839	20.6158105103157	18.6109892002564	19.0189762636573	18.3027787502558	19.6475697247024	18.5189128562261	17.2739069981053	18.4558599554353	18.0996297896923	20.4860959709342	20.0764888146781	19.5643807519967	19.7900994777866	19.7676528414463	17.7051983212282	19.5864975103512	19.5957132414252	19.4563766611385	19.2341087345921	18.4883223385769	21.6116535693418	20.2479964403727	17.5808927115724	18.3169180751185	18.732245164078	18.5082082863153	18.6189322669068	18.5158748092304	20.6559932694252	18.6556999552752	17.9429451550098	19.2072010383536	17.0729336407322	0	18.2585220828327	17.581525436561	18.7939545023791	18.3577724988947	19.2004254630438	18.9803288802494	18.8601420479306	20.2613389777526	20.0057350706664	19.7659632979296	18.8903704638168	19.6913949067098	19.6862169284345	18.1454215267584	20.5654793322873	19.5507942045867	19.2207881091237	18.3732002447951	18.7046430302347
"5"	"932_SemiBin_172"	22.7084306313796	21.0540605729103	19.2886221518604	20.5163682404692	19.9218522557918	20.6623846487596	20.3781170678586	19.7503911566939	21.5629000391863	20.58552365902	20.7462225959097	19.7136420332756	20.4496934046601	19.3364961716939	21.2575595483538	19.7582717015548	20.2426539100758	18.8724957997572	18.606859331589	19.6621761878012	18.9315088897366	18.2938104624188	20.4888819512469	20.4814062959253	19.1680708086361	18.9008103961403	18.9075513225897	17.6599982839239	20.1228451690588	18.7326103580483	19.986357318001	19.5783326151572	19.3368892449802	19.8856198188098	18.5784853001082	17.4182607326249	19.2951563451699	18.6804849693894	20.2719294113716	20.5314483162624	17.5030642581841	19.9301040807779	20.0384961555198	15.3244122218164	20.4203143040322	18.65554225115	19.5302737044182	20.5025102565204	20.1023851452036	20.3506162896885	20.1798384010508	20.6938598069259	20.2359287349166	19.2358311948548	18.6572274907495	19.0442371106131	21.0358698422929	20.3640297903658	19.9597128376931	21.33336945266
"6"	"932_SemiBin_176"	19.2594698307122	17.8562194518647	17.4825669872295	14.688981317668	18.7609119534352	17.7358991414655	16.3820569160171	16.5451262339306	18.7096899903426	17.5508173739181	19.4341923249695	20.076437745266	18.1456101456617	16.9368044023458	17.6475828952561	17.5423052176518	16.9153938700131	17.4271762790837	16.9027405553856	17.3853841094527	16.4490969801147	17.1962400090434	18.651980925857	14.2579738770246	0	16.5441304023345	0	15.7080268012323	17.2259732099407	15.1813981172129	17.7929672249115	16.7112104737792	17.2347868339777	17.2853710789505	14.945410678224	17.8892906514995	17.4728605679627	19.3120239351901	17.5409053159613	17.9915238233625	0	16.0377714494376	17.5168686935427	0	18.004373454324	19.6111947455884	17.3687474503601	18.9695949134384	17.8544944602759	14.4348843620084	18.5169534381173	17.1960176051138	16.4763925103142	14.6126979676401	18.06511478725	15.1159873967405	17.5589540809281	17.9061719499382	18.06446182789	17.7208684853995
"7"	"932_SemiBin_178"	0	0	0	0	0	0	15.5965123485462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3756061406168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.680549249544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"932_SemiBin_216"	17.414800820148	19.1304747562012	16.6883808963534	17.4339175902687	16.4955562956021	0	19.0742821561432	17.5356790840594	17.9542700677512	15.9306806398899	15.7294319100922	16.5521544823217	19.0171235467134	0	17.3025142073709	15.0407294099728	14.7520244838992	19.2896370197624	13.1178571592076	0	15.2268852696777	17.774908851365	17.5850676965374	14.2806453820254	0	16.732031826849	17.7472165493443	17.60636907107	16.5929875924896	19.2273031609429	17.555221811135	17.4976789984033	0	17.1035030317367	17.2997891606332	16.9076291566576	18.9231982973099	17.5950159639414	13.9205718627619	16.0285855356871	15.977466055561	13.4890170873877	15.166777731741	0	18.0083549542102	17.188872538556	17.2651339016838	17.7645121922133	17.9724993666359	0	14.7117112911634	0	15.2331764954422	15.7138079897921	17.417158724557	17.3414443119779	16.3481170739292	16.0750187505896	16.8535454654273	14.9651329959075
"9"	"932_SemiBin_237"	24.2260286281041	23.9419857774241	24.7994427005771	25.1761215197396	24.3547896769546	24.0617140624463	24.5645962540692	24.5103314807246	25.3734821117498	24.9391397675993	25.0919133143807	25.358974554509	24.8202448545084	24.0356032480943	25.0700462064876	24.3603705321932	24.6162054832173	25.4755558817171	23.8115881871368	24.9645497731885	24.1246899220853	24.981383073066	25.2174069116971	23.7016514003518	23.6949519412794	24.8760407001689	24.930547872984	24.1270409147904	24.3791087961285	25.1650319728678	25.5808135072537	24.7943451273288	23.6434142382569	24.7981972464207	24.2533332606538	23.475434325785	24.6759292932905	24.7435740482129	24.0461816461775	24.9101621157849	24.0900918152072	23.8239503693669	24.4232347469919	23.3521503050287	25.1631682518148	24.4145840676686	24.9892622708645	25.3249258230299	25.0420539205747	24.4596870987981	24.492793313513	24.6242026836868	24.9180640492503	24.759699397306	24.875868597446	24.2050798668488	25.1712778575816	24.2804784072076	24.6453442045802	25.4820863149066
"10"	"933_SemiBin_193"	20.592069847391	20.9725968796441	20.5697329314249	20.5662518134565	20.8364123682981	19.9767075679198	21.0624239668771	20.8203886281818	20.8636392344924	21.2521260095844	20.9522772531879	20.7501933541609	20.3515340916674	19.2592322890781	21.2228757681967	21.0526429073836	21.0602869677436	21.0015766748619	20.5444823391696	20.9693991460127	21.2745405103436	20.3108969356691	21.2815445512402	20.327995291722	20.2368833160364	20.0211157025422	21.0301247754351	20.1228319475287	21.0653755146157	20.5342364872683	20.6403767501123	20.6961330728269	20.6374862543183	19.7785063281082	18.766581065361	19.5419201433728	20.4971557651356	21.1494815524859	21.0993572368974	18.8587033963021	16.854484923544	20.1010258012053	20.2265191484714	0	20.7864259725434	20.3741458785288	20.6607482719438	20.9553761574044	20.2225319236757	21.6837968873905	20.4566324041677	20.2508689468699	21.5018384835798	20.0328207044355	19.9469442898053	20.370758752186	20.4544593272744	20.9349876518913	20.7190220431783	20.8678704809865
