"ko_id"	"mean_control"	"mean_stress"	"log2Fold_change"	"p_value"	"FDR"	"SCORE_neg_log10_p"	"Significance"
"K00013"	11.3291470919326	10.2628975541503	-1.06624953778233	0.556218107080327	0.640416260904413	0.254754877253468	"Not significant"
"K00060"	11.3216619121066	13.8465543677224	2.5248924556158	0.122044589241808	0.293653111692573	0.913481469950314	"Not significant"
"K00068"	4.28031580416977	6.93656467734163	2.65624887317186	0.182929633833135	0.323347451352936	0.737715934940618	"Not significant"
"K00099"	6.41689499681721	9.08034960217119	2.66345460535397	0.18872309303561	0.324700472947643	0.724174954290275	"Not significant"
"K00104"	13.6186467504344	16.3541590285551	2.73551227812068	0.0195093063123308	0.252536831478572	1.70975817243443	"p < 0.05 & |FC| > 1"
"K00112"	10.6726667506869	13.210901754169	2.5382350034821	0.158514693144556	0.316465682144055	0.799930475680611	"Not significant"
"K00169"	1.46150884907903	4.28966164533169	2.82815279625266	0.0744310001858253	0.267359220715261	1.12824614502444	"Not significant"
"K00170"	2.93298670096855	5.81388122461455	2.88089452364599	0.112859027973718	0.283276160214032	0.947463694518472	"Not significant"
"K00203"	7.68544531839069	5.08886779525971	-2.59657752313098	0.20929874180478	0.341129767487012	0.679233382406098	"Not significant"
"K00209"	1.44451066052525	4.58985295424787	3.14534229372261	0.0452493695158851	0.252536831478572	1.34438746767822	"p < 0.05 & |FC| > 1"
"K00244"	9.99470887307263	11.0972360111284	1.10252713805575	0.590065290830183	0.664154206270744	0.229099930936768	"Not significant"
"K00278"	13.9675113560124	16.7137569563135	2.7462456003011	0.0221483520766697	0.252536831478572	1.65465858143338	"p < 0.05 & |FC| > 1"
"K00319"	10.4576741112568	8.17113563138465	-2.28653847987218	0.308385782970429	0.424464555245244	0.51090565176185	"Not significant"
"K00320"	14.5201769713526	11.0993403471849	-3.42083662416774	0.110719623577736	0.283276160214032	0.955775399390118	"Not significant"
"K00324"	9.51253571479511	12.4798530627659	2.96731734797084	0.127586615323016	0.293653111692573	0.894194883579206	"Not significant"
"K00334"	12.5134733831799	15.480485603827	2.96701222064702	0.0364317395366682	0.252536831478572	1.43852009164198	"p < 0.05 & |FC| > 1"
"K00338"	13.9068630497419	13.8847213446914	-0.0221417050504851	0.989326203532095	0.989326203532095	0.00466048794201158	"Not significant"
"K00343"	8.1109901152956	4.18120465371761	-3.929785461578	0.0394843671691514	0.252536831478572	1.40357481819664	"p < 0.05 & |FC| > 1"
"K00370"	7.32771795676319	4.83994845863827	-2.48776949812492	0.206710017929508	0.341129767487012	0.684638475351049	"Not significant"
"K00428"	11.893325809725	14.518746337322	2.62542052759696	0.0855753978668632	0.270925719198526	1.06765107301414	"Not significant"
"K00432"	11.3702952614098	14.4828376652217	3.11254240381187	0.0629224413638094	0.263194944126611	1.20119443528172	"p < 0.1 & |FC| > 3"
"K00549"	8.16864200802203	5.35778006242358	-2.81086194559844	0.168781641411843	0.319326883517876	0.772674793890072	"Not significant"
"K00575"	14.7531579793121	12.8972650538258	-1.85589292548625	0.208910359921541	0.341129767487012	0.680040022704245	"Not significant"
"K00603"	1.94508728024698	8.23166744610294	6.28658016585596	0.000907238139743521	0.227716773075624	3.04227870058964	"p < 0.05 & |FC| > 1"
"K00677"	14.6857829482363	16.7570146862828	2.07123173804646	0.129505848652992	0.293653111692573	0.887710617834742	"Not significant"
"K00765"	12.9529061343162	12.2239837720042	-0.728922362311975	0.680991219440023	0.739951498179419	0.166858487754366	"Not significant"
"K00766"	11.5637225110789	14.2513766506137	2.68765413953476	0.108858076768405	0.283276160214032	0.963139342775212	"Not significant"
"K00809"	5.7592816369476	9.6895040717059	3.9302224347583	0.0568715580709509	0.259541110469249	1.24510487351771	"p < 0.1 & |FC| > 3"
"K00876"	10.8103015928965	13.5545406534596	2.74423906056313	0.118382300220254	0.288485022866832	0.926713225749043	"Not significant"
"K00912"	10.1151251135949	11.931520634371	1.81639552077609	0.337373483145238	0.452838204649491	0.471889055049384	"Not significant"
