"ko_id"	"X932"	"X933"	"X934"	"X935"	"X937"	"X938"	"X939"	"X940"	"X941"	"X942"	"X943"	"X944"	"X945"	"X946"	"X947"	"X948"	"X949"	"X950"	"X951"	"X952"	"X953"	"X954"	"X955"	"X956"	"X957"	"X958"	"X959"	"X960"	"X961"	"X962"	"X963"	"X964"	"X965"	"X966"	"X967"	"X968"	"X969"	"X970"	"X971"	"X972"	"X973"	"X974"	"X975"	"X976"	"X978"	"X979"	"X980"	"X981"	"X982"	"X983"	"X984"	"X985"	"X986"	"X987"	"X988"	"X989"	"X990"	"X991"	"X992"	"X993"
"1"	"K00003"	17.104498227126	13.1649748990843	16.2240929041918	16.7550887166241	15.9789932357968	17.5482243078341	16.0909682560102	14.5442269507731	16.4924038815977	16.1144720475087	17.3689655529872	15.8141032272062	17.7465707423107	16.2471365444208	17.7785357882725	14.873459216581	16.9635519715354	0	15.3763156576225	15.4223257903669	16.3077408371262	14.3795366060342	16.7761232600364	17.9412907530385	14.8767483563469	16.1568204576384	14.2724346599101	14.8198655782862	17.3952129179209	0	16.6344448555575	17.4701309137184	15.8556218270592	14.3013724592434	0	13.9634444283446	15.86275724426	15.3722478860788	16.4139715322792	0	0	16.2005668902218	17.3126976895721	0	17.0192905346875	15.6272267238918	15.786447601599	17.5138236328274	17.1002713384627	15.6449749427469	12.7562338579495	16.1209595612165	16.3267231206124	16.1772528547493	16.8071768848564	15.4114596472304	17.1202576680281	16.1481842506681	16.7262975937656	18.2697795219361
"2"	"K00005"	14.2530884532957	0	0	15.6429887432613	15.0799156943403	0	17.1926671016167	15.6509276878909	15.1235696794794	17.0956653575253	15.975236086553	15.7091123962264	15.6714401122281	0	16.4988709628539	16.1140937980399	14.6519353522611	15.7478200451385	15.7376553409178	14.6878493491288	14.7768439198419	0	15.6491451125776	15.862066957735	14.422781830023	14.8724111899421	14.6810623067909	15.4041260604388	17.1173998256656	14.4023512483601	17.0500232203236	16.9437484746059	14.7652953369276	15.3398012911812	15.0847459155187	15.6465392034387	14.754659390628	14.6215410376677	0	15.1378774252094	0	0	14.0003607866398	0	16.8926101739555	17.4187132207572	14.8344495588894	15.6735751549575	16.6680341031534	0	17.1313729761263	16.462997549707	15.9311627120869	16.2661640948897	17.6037269544254	17.1970978429579	16.6753285177282	0	16.5227718989415	16.7955130674306
"3"	"K00008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.7594199608809	0	14.6366065899331	0	0	14.8576573890165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"K00009"	0	0	15.6297233939654	16.4816667562236	14.8892980048085	0	17.8660143325615	17.8384972031983	17.6084407510777	17.2273049429827	13.7220468090334	12.6799083281839	16.6870139483208	0	16.9414860672571	17.08947373637	12.8641423353816	16.6797891309548	19.0027951047974	17.9439219252946	15.6577761296921	15.5206882286299	14.1827586637974	18.6142202873365	17.5794636953127	17.0383365649609	18.2058207818549	14.8622548982834	16.1750306897382	0	18.6283725659248	0	15.4026097532638	18.1474364541177	16.7545797025466	0	13.3518607190803	0	13.2188736716328	17.0495635526912	15.4919317511497	0	0	15.7270764260542	18.3204881490328	18.6925197322869	18.6613080715447	17.8390022309903	18.7235756952275	15.7002071522156	18.0139462616679	19.5504169180025	16.8867987581675	18.3844990768023	19.2590469466673	18.2870852751597	17.3868610411235	0	18.8611673288167	18.5000672529694
"5"	"K00010"	16.4865536452867	16.835520177035	17.2232883119278	18.3179153119741	17.9025707534214	17.186338770391	18.214292255169	18.046898578537	18.1356407052359	18.5426186166175	19.3097925440737	16.9836204786339	17.3906619122888	15.4971634951228	18.6204307046139	18.1041775286449	18.4221633668346	16.8774673253207	17.922010538833	18.0311213042798	15.9633849065353	18.0897478606694	17.1960237749797	16.7993681883011	17.7397097431216	16.4062495223186	16.5629936456256	0	16.4691824164873	16.4862868531224	18.26320082943	17.3105334859281	13.9494949579918	17.4317269759776	18.0953052946521	16.1561357776705	18.7802473307083	17.5563324703912	18.4731935111622	17.2894667299477	0	16.5193661238176	16.9314139710652	0	18.6848426556441	16.0724620366309	18.406440298546	18.3399848839	17.1213158842872	18.5094513030035	18.874412626014	18.8240379154832	18.953738392802	18.769465624301	14.4263379198274	16.1200674832995	17.250198513068	16.3853442021632	17.6484110887114	18.6287433427057
"6"	"K00012"	19.2561287948908	17.4158859867561	18.1798422402266	18.825732321586	19.1090460579216	19.5043045985312	18.6560264415947	18.2569539236845	19.4527283695044	18.6681747586009	17.2127421241436	18.2246170608156	18.8208071664984	18.7944712190753	18.312476136408	17.9046682151378	16.7166347584525	17.8761657217292	17.2767884388185	18.0625205653881	18.0029845734971	17.362076482031	18.1433835263652	16.703855847426	17.5909183165611	16.9787611766916	17.6706324875136	16.7264261988392	19.3353940360801	17.4106593623726	18.6173284813347	16.618108128321	16.8180504125909	16.5031030528524	15.9664404419084	15.7396675929341	15.629617499716	17.3821887069595	17.4622806220974	16.2464752955959	17.7986227371517	16.3273904001791	17.4401933978009	0	18.5690350121473	18.6679438930834	18.6453343573328	18.6295812350542	18.7488504607726	18.8936423593927	18.7285808834249	17.393907258742	18.5603402137238	17.7049523920188	17.7420267412698	18.6314791770553	19.0401949679529	18.9158176638905	18.6930736686387	18.5113034975749
"7"	"K00013"	13.5044490636705	14.4396544259121	12.5167485842119	0	14.154729790305	0	14.7218490723966	16.8207136207211	14.6963977627529	15.4258079733682	16.0599875845664	16.3995802869632	14.3630102099909	0	14.9477642718996	13.5582498701927	16.2231691969447	14.8817551163986	15.3877814351729	16.959659299236	16.5780781180453	0	13.9259311674191	16.8990634950629	15.4194056027032	0	0	0	15.6392359288866	13.5946171701482	14.4287236874073	0	0	0	0	0	13.815341895963	0	14.4549525844562	0	0	15.0420168321206	16.9134481782249	0	15.7837949774816	0	14.1147606608676	14.1372527652178	14.7860466820875	16.4659495141569	16.041020290292	15.1250146243984	16.3379378887967	16.3833370526475	13.0435478064966	14.0895269197536	15.6705538891018	14.1657317299413	14.3514220680574	16.5595698258324
"8"	"K00014"	0	0	0	0	0	0	0	14.1037520675016	0	0	0	0	0	0	0	0	0	0	0	14.7829310066142	16.2803869305345	0	0	0	0	0	0	0	0	0	0	0	14.356125008976	0	0	0	0	12.0457495156535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.7219334972953	0	0	0	0	0	14.1270614154131	0
"9"	"K00016"	20.8378506239615	20.3960070365365	20.8320927259663	21.6072809329066	21.1392565110159	20.0730356066381	22.064450663529	22.1217799300859	21.5192711154036	21.6574789717164	21.5384114074405	21.8625776163766	21.6191464110077	20.3679852467413	21.5059790825543	20.8305060822985	21.846086247094	21.5033302596511	21.7255459213902	22.1795621570484	22.34543855143	21.5257550194214	21.6170265598913	22.0071729267552	20.9615528957469	21.1146968473177	22.2083492843214	20.4716754836714	21.3949621430741	20.2244046156146	21.9512551838799	20.5178779285894	20.0185912822024	21.5433764209657	20.1347217503808	19.9860705471551	20.5363975400913	21.6244751449566	20.4123687124974	20.6089169434611	20.3943393298301	18.1059778399187	19.1404403483957	20.1047969848554	21.8623159797063	21.7851146937907	22.0662036066667	21.9247446002576	22.2446724223291	21.1034812235379	21.2420314410445	22.3228780980166	21.9266129990416	22.0184763128941	22.2765965682195	21.5778250935375	22.1821824743188	20.8092365386918	22.1736775471364	21.9301025416669
"10"	"K00018"	0	15.2772236784186	0	0	15.0981016840583	0	0	0	14.0482676478319	0	0	0	15.6181183610288	0	15.0068883390785	14.7539575117285	0	16.0416301982137	0	0	0	0	0	0	0	0	0	0	0	0	15.3453782443602	0	0	0	0	0	0	14.5550211402326	0	0	0	0	0	0	14.5446036363631	0	0	15.2425375202712	0	0	0	0	15.4146219587821	0	0	0	0	0	0	0
"11"	"K00024"	20.2877514294306	19.7244243507404	20.6424639998134	19.8546539422218	20.3887552997749	19.7807669495109	20.2581395907787	19.9242752477942	19.806362315898	20.0626318344146	20.4353156424259	19.4764383901212	18.9506047034062	18.9337561513368	19.9638321622204	19.8977811472605	20.6273386396991	20.0054590879728	19.6256832302759	20.269346658685	19.5749374505176	18.5871396548868	20.1185107864648	20.2071971314306	19.9259145711465	18.2826027915923	19.4008505938443	19.1450666766064	18.8315336558606	18.1156456281908	19.7045528497124	18.841075206982	18.6851502067423	18.9432771256696	18.5750796856639	17.6625039443822	18.7500135337382	18.9133351057092	19.8524558244725	17.7902788920691	19.7198868972127	18.2099932941763	19.1634791824453	17.3155453436058	20.0560449269527	19.9195077975223	19.7106035801229	20.1978488136739	19.4802528554462	20.6904640492072	20.4588415407636	19.4853466266876	20.603844350491	20.6524383092239	18.5391422588801	19.735698702735	19.899720829283	19.8783570623624	19.495208509961	19.9873447183303
"12"	"K00027"	0	0	0	18.58262549725	16.3255969750398	0	15.3016166267039	15.0554765942969	17.8759855261084	17.5473301540061	0	0	17.3570117966586	15.8829346031807	18.0534130311775	0	17.5104250844372	16.618065871944	0	16.8877566698452	15.5987610672333	0	0	15.9049660254137	16.4180958516863	0	15.0954382053954	0	17.9759684046978	13.9902200349646	17.5171715837082	16.3383829594808	0	16.3107701179259	13.9948622367131	0	16.9441657362899	16.9145584669394	14.988412417653	0	0	0	0	0	16.9390375053046	0	0	17.2471759195175	15.0711154426227	18.1690661028105	17.2678568395851	18.3686210943648	17.5209470853041	15.8716795258854	16.7401682452894	16.4762178360143	16.4122449648918	0	14.4861888107158	17.4641227098044
"13"	"K00029"	18.5937197825619	17.7918932505674	17.7230468734576	17.5797956207589	18.0857686743745	17.6810413599979	17.8435571138744	17.5568676611054	17.9328776893123	17.6422764190873	16.8711038989575	18.2680688944298	15.8015918822908	15.5151484525968	16.5576662112999	17.0434527639587	17.8561320285411	17.3663781297054	17.7112587963632	18.5093919993592	17.2784677629686	16.8180996803646	17.4489630194646	17.4012564122802	18.195588582981	16.6811003201602	15.8020834284568	17.8097200606104	18.1647986213342	16.9353201635682	17.8474264199243	15.8730734761022	16.2003269065747	14.4521880058356	16.0654973212593	16.3096319268037	15.1069830582082	17.2931082912205	17.1417222694244	15.8596961794317	15.2932640787117	17.817927461219	17.2724723667265	16.1819079864001	17.1561402882878	17.345362465673	17.5562520980353	16.4117933437345	17.5215779531889	18.6390909212003	18.4531875802077	16.8286885117556	18.8604946009771	18.2776237646365	16.5511288535509	18.1602353664127	17.3543550471946	18.0566137116195	17.3065826724451	16.9356564299614
"14"	"K00030"	0	13.382358244293	0	0	0	0	12.7431322754585	0	0	0	11.2883300515116	14.3182268691491	11.7721010156012	0	0	12.697280688592	0	0	0	0	14.842036896233	0	14.7667563135429	0	0	0	0	0	0	15.5082869127622	14.7749728775303	11.7325311904864	0	0	13.5012001751836	13.3045411401349	12.9358034896886	0	0	13.6690770548796	0	0	0	0	0	0	0	0	0	0	0	0	15.1815068331592	0	15.1581538900538	0	0	0	0	0
