"ko_id"	"SampleID"	"summedLFQ"	"corral"	"Tto"	"sex"
"K00005"	"X973"	0	"C9"	"control"	"F"
"K00005"	"X974"	0	"C9"	"control"	"F"
"K00005"	"X975"	16387.097794283	"C9"	"control"	"M"
"K00005"	"X976"	0	"C9"	"control"	"M"
"K00005"	"X978"	121668.680445604	"C8"	"stress"	"M"
"K00005"	"X979"	175207.497487645	"C8"	"stress"	"M"
"K00005"	"X980"	29214.5647873385	"C8"	"stress"	"F"
"K00005"	"X981"	52264.6385769607	"C8"	"stress"	"M"
"K00005"	"X982"	104129.5671512	"C8"	"stress"	"F"
"K00005"	"X983"	0	"C8"	"stress"	"M"
"K00005"	"X984"	143566.828864887	"C8"	"stress"	"F"
"K00005"	"X985"	90334.00667907	"C8"	"stress"	"F"
"K00005"	"X986"	62481.4200479194	"C7"	"control"	"F"
"K00005"	"X987"	78812.9886396067	"C7"	"control"	"F"
"K00005"	"X988"	199180.889892828	"C7"	"control"	"F"
"K00005"	"X989"	150258.621005185	"C7"	"control"	"M"
"K00005"	"X990"	104657.395265545	"C7"	"control"	"F"
"K00005"	"X991"	0	"C7"	"control"	"M"
"K00005"	"X992"	94155.4233864163	"C7"	"control"	"M"
"K00005"	"X993"	113749.476833498	"C7"	"control"	"M"
"K00008"	"X932"	0	"C6"	"stress"	"F"
"K00008"	"X933"	0	"C6"	"stress"	"M"
"K00008"	"X934"	0	"C6"	"stress"	"F"
"K00008"	"X935"	0	"C6"	"stress"	"M"
"K00008"	"X937"	0	"C6"	"stress"	"M"
"K00008"	"X938"	0	"C6"	"stress"	"F"
"K00008"	"X939"	0	"C6"	"stress"	"M"
"K00008"	"X940"	0	"C5"	"control"	"M"
"K00008"	"X941"	0	"C5"	"control"	"F"
"K00008"	"X942"	0	"C5"	"control"	"F"
"K00008"	"X943"	0	"C5"	"control"	"F"
"K00008"	"X944"	0	"C5"	"control"	"M"
"K00008"	"X945"	0	"C5"	"control"	"M"
"K00008"	"X946"	0	"C5"	"control"	"F"
"K00008"	"X947"	0	"C5"	"control"	"M"
"K00008"	"X948"	0	"C4"	"stress"	"M"
"K00008"	"X949"	0	"C4"	"stress"	"F"
"K00008"	"X950"	0	"C4"	"stress"	"M"
"K00008"	"X951"	0	"C4"	"stress"	"F"
"K00008"	"X952"	0	"C4"	"stress"	"M"
"K00008"	"X953"	0	"C4"	"stress"	"M"
"K00008"	"X954"	0	"C4"	"stress"	"F"
"K00008"	"X955"	0	"C3"	"control"	"M"
"K00008"	"X956"	0	"C3"	"control"	"F"
"K00008"	"X957"	0	"C3"	"control"	"F"
"K00008"	"X958"	0	"C3"	"control"	"F"
"K00008"	"X959"	0	"C3"	"control"	"M"
"K00008"	"X960"	0	"C3"	"control"	"M"
"K00008"	"X961"	0	"C3"	"control"	"M"
"K00008"	"X962"	0	"C3"	"control"	"F"
"K00008"	"X963"	0	"C10"	"stress"	"M"
"K00008"	"X964"	27733.9972291475	"C10"	"stress"	"M"
"K00008"	"X965"	0	"C10"	"stress"	"F"
"K00008"	"X966"	25470.681656324	"C10"	"stress"	"F"
"K00008"	"X967"	0	"C10"	"stress"	"F"
"K00008"	"X968"	0	"C10"	"stress"	"F"
"K00008"	"X969"	29688.3397363203	"C10"	"stress"	"M"
"K00008"	"X970"	0	"C9"	"control"	"F"
"K00008"	"X971"	0	"C9"	"control"	"M"
"K00008"	"X972"	0	"C9"	"control"	"F"
"K00008"	"X973"	0	"C9"	"control"	"F"
"K00008"	"X974"	0	"C9"	"control"	"F"
"K00008"	"X975"	0	"C9"	"control"	"M"
"K00008"	"X976"	0	"C9"	"control"	"M"
"K00008"	"X978"	0	"C8"	"stress"	"M"
"K00008"	"X979"	0	"C8"	"stress"	"M"
"K00008"	"X980"	0	"C8"	"stress"	"F"
"K00008"	"X981"	0	"C8"	"stress"	"M"
"K00008"	"X982"	0	"C8"	"stress"	"F"
"K00008"	"X983"	0	"C8"	"stress"	"M"
"K00008"	"X984"	0	"C8"	"stress"	"F"
"K00008"	"X985"	0	"C8"	"stress"	"F"
"K00008"	"X986"	0	"C7"	"control"	"F"
"K00008"	"X987"	0	"C7"	"control"	"F"
"K00008"	"X988"	0	"C7"	"control"	"F"
"K00008"	"X989"	0	"C7"	"control"	"M"
"K00008"	"X990"	0	"C7"	"control"	"F"
"K00008"	"X991"	0	"C7"	"control"	"M"
"K00008"	"X992"	0	"C7"	"control"	"M"
"K00008"	"X993"	0	"C7"	"control"	"M"
"K00009"	"X932"	0	"C6"	"stress"	"F"
"K00009"	"X933"	0	"C6"	"stress"	"M"
"K00009"	"X934"	50699.8879614763	"C6"	"stress"	"F"
"K00009"	"X935"	91510.583877533	"C6"	"stress"	"M"
"K00009"	"X937"	30346.6672691401	"C6"	"stress"	"M"
"K00009"	"X938"	0	"C6"	"stress"	"F"
"K00009"	"X939"	238893.536215138	"C6"	"stress"	"M"
"K00009"	"X940"	234380.179640035	"C5"	"control"	"M"
"K00009"	"X941"	199832.752161405	"C5"	"control"	"F"
"K00009"	"X942"	153437.91974901	"C5"	"control"	"F"
"K00009"	"X943"	13511.8728859017	"C5"	"control"	"F"
"K00009"	"X944"	6560.94746430163	"C5"	"control"	"M"
"K00009"	"X945"	105508.541676838	"C5"	"control"	"M"
"K00009"	"X946"	0	"C5"	"control"	"F"
"K00009"	"X947"	125861.245983421	"C5"	"control"	"M"
"K00009"	"X948"	139457.247953147	"C4"	"stress"	"M"
"K00009"	"X949"	7454.77359249963	"C4"	"stress"	"F"
"K00009"	"X950"	104981.48528914	"C4"	"stress"	"M"
"K00009"	"X951"	525303.750155233	"C4"	"stress"	"F"
"K00009"	"X952"	252148.864646143	"C4"	"stress"	"M"
"K00009"	"X953"	51695.3975474188	"C4"	"stress"	"M"
"K00009"	"X954"	47009.2661716831	"C4"	"stress"	"F"
"K00009"	"X955"	18595.6954580822	"C3"	"control"	"M"
"K00009"	"X956"	401270.811364203	"C3"	"control"	"F"
"K00009"	"X957"	195859.058540039	"C3"	"control"	"F"
"K00009"	"X958"	134600.649565585	"C3"	"control"	"F"
"K00009"	"X959"	302340.769849026	"C3"	"control"	"M"
"K00009"	"X960"	29783.1031706379	"C3"	"control"	"M"
"K00009"	"X961"	73988.3851562346	"C3"	"control"	"M"
"K00009"	"X962"	0	"C3"	"control"	"F"
"K00009"	"X963"	405226.502316927	"C10"	"stress"	"M"
"K00009"	"X964"	0	"C10"	"stress"	"M"
"K00009"	"X965"	43314.9204282206	"C10"	"stress"	"F"
"K00009"	"X966"	290349.59282627	"C10"	"stress"	"F"
"K00009"	"X967"	110567.407665318	"C10"	"stress"	"F"
"K00009"	"X968"	0	"C10"	"stress"	"F"
"K00009"	"X969"	10453.6759083547	"C10"	"stress"	"M"
"K00009"	"X970"	0	"C9"	"control"	"F"
"K00009"	"X971"	9533.0512921579	"C9"	"control"	"M"
"K00009"	"X972"	135652.19978228	"C9"	"control"	"F"
"K00009"	"X973"	46081.5123209052	"C9"	"control"	"F"
"K00009"	"X974"	0	"C9"	"control"	"F"
"K00009"	"X975"	0	"C9"	"control"	"M"
"K00009"	"X976"	54239.2582131694	"C9"	"control"	"M"
"K00009"	"X978"	327352.107585861	"C8"	"stress"	"M"
"K00009"	"X979"	423650.876082776	"C8"	"stress"	"M"
"K00009"	"X980"	414583.907328863	"C8"	"stress"	"F"
"K00009"	"X981"	234462.241147661	"C8"	"stress"	"M"
"K00009"	"X982"	432869.42083133	"C8"	"stress"	"F"
"K00009"	"X983"	53238.4169855959	"C8"	"stress"	"M"
"K00009"	"X984"	264689.384634339	"C8"	"stress"	"F"
"K00009"	"X985"	767823.419450394	"C8"	"stress"	"F"
"K00009"	"X986"	121179.560508238	"C7"	"control"	"F"
"K00009"	"X987"	342203.469384364	"C7"	"control"	"F"
