code_protein	Protein	Association	Loading_Value	Description	comp1	comp2	comp3
P32073	MEGAHIT-MetaBAT2-S970.241_contig_107714_40	control	-0.0277312580795582	rank: E	-0.0277312580795582	-0.0333913265138487	0.0123488358787955
P15324	991_SemiBin_49_contig_4970580_17	stress	0.0277302807784511	rank: C;large subunit ribosomal protein L18 (db=kegg)	0.0277302807784511	0.0177107133010583	-0.0296674912963928
P15529	992_SemiBin_233_contig_1712832_4	stress	0.0277177166322163	rank: E	0.0277177166322163	-0.0261408876874592	-0.0581340700856792
P36357	MEGAHIT-MetaBAT2-S983.173_contig_59728_3	stress	0.027682150829857	rank: C;small subunit ribosomal protein S6 (db=kegg)	0.027682150829857	0.000984522689307598	0.0419430217380278
P32689	MEGAHIT-MetaBAT2-S973.125_contig_3453269_13	control	-0.0276659268118697	rank: D;Kinase/pyrophosphorylase [PF03618.19] (db=pfam)	-0.0276659268118697	0.0181975028293833	0.0361182252599177
P35210	MEGAHIT-MetaBAT2-S979.51_contig_4518112_79	stress	0.0276449960744205	rank: C;molecular chaperone DnaK (db=kegg)	0.0276449960744205	0.00644981535068616	0.0635028559689637
P27280	MEGAHIT-MetaBAT2-S960.192_contig_80446_4	control	-0.0276265125098749	rank: C;large subunit ribosomal protein L25 (db=kegg)	-0.0276265125098749	-0.0176491022201068	0.0231123908289884
P15958	993_SemiBin_0_contig_4100127_2	control	-0.0276193657219012	rank: D;Bacterial extracellular solute-binding protein [PF01547.30] (db=pfam)	-0.0276193657219012	-0.0262101587682496	0.0405291706656266
P19277	MEGAHIT-MetaBAT2-S942.31_contig_2232975_1	control	-0.0276037286875535	rank: C;formate C-acetyltransferase [EC:2.3.1.54] (db=kegg)	-0.0276037286875535	-0.0367943750718771	-0.00420017488268866
P35107	MEGAHIT-MetaBAT2-S978.150_contig_345540_4	stress	0.0276012645159173	rank: D;Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain [PF02882.24];Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain [PF00763.28] (db=pfam)	0.0276012645159173	0.0461764472841902	-0.0135065076583433
P23782	MEGAHIT-MetaBAT2-S951.163_contig_4275184_34	stress	0.0275800863882025	rank: C;membrane fusion protein, multidrug efflux system (db=kegg)	0.0275800863882025	-0.0436855467698039	-0.0282170901813763
P22867	MEGAHIT-MetaBAT2-S950.5_contig_1514592_6	stress	0.0275497646768785	rank: C;5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18] (db=kegg)	0.0275497646768785	-0.053075137698981	-0.000456491930566857
P25360	MEGAHIT-MetaBAT2-S955.226_contig_2978269_1	stress	0.0275494765454254	rank: D;Domain of unknown function (DUF4957) [PF16318.10];Domain of unknown function (DUF5123) [PF17161.9] (db=pfam)	0.0275494765454254	-0.0398544353192965	0.00764938075684408
P23390	MEGAHIT-MetaBAT2-S950.5_contig_1514779_2	stress	0.0275480762678583	rank: C;LL-diaminopimelate aminotransferase [EC:2.6.1.83] (db=kegg)	0.0275480762678583	-0.0293449855720111	0.0459374034529859
P30740	MEGAHIT-MetaBAT2-S967.229_contig_6869648_35	stress	0.0275358154169989	rank: C;fumarate hydratase subunit beta [EC:4.2.1.2] (db=kegg)	0.0275358154169989	-0.0361404198292743	0.0122010375179649
P41623	group7_bins.370_contig_4873630_1	stress	0.0275340776545919	rank: E	0.0275340776545919	-0.0300268306121884	0.0130822846498313
P23016	MEGAHIT-MetaBAT2-S950.5_contig_1514659_31	stress	0.0275102953727169	rank: E	0.0275102953727169	-0.0212055500353567	0.0250329122351818
P23946	MEGAHIT-MetaBAT2-S951.173_contig_4789026_4	stress	0.0274930579143256	rank: E	0.0274930579143256	-0.0116169359466448	0.0577635002026587
P37801	MEGAHIT-MetaBAT2-S988.9_contig_3041306_19	stress	0.0274820312758132	rank: C;large subunit ribosomal protein L6 (db=kegg)	0.0274820312758132	0.0347381541541083	0.00482285468827724
P1506	935_SemiBin_192_contig_3012009_58	stress	0.0274751827811127	rank: C;branched-chain amino acid transport system substrate-binding protein (db=kegg)	0.0274751827811127	0.0175130232976422	-0.0245879527083267
P9521	967_SemiBin_89_contig_4060617_4	stress	0.0274699453613709	rank: C;maltose transport system substrate-binding protein (db=kegg)	0.0274699453613709	-0.0141604192997934	0.0195610488453449
P1509	935_SemiBin_192_contig_3012009_63	stress	0.0274541635136354	rank: C;small subunit ribosomal protein S11 (db=kegg)	0.0274541635136354	0.0267089291508296	-0.015445867759403
P15538	992_SemiBin_233_contig_1712835_24	stress	0.0274391880112386	rank: D;Tetratricopeptide repeat-like domain [PF09976.14];Outer membrane lipoprotein [PF13525.11] (db=pfam)	0.0274391880112386	-0.0346230397563872	-0.0657503404765256
P24656	MEGAHIT-MetaBAT2-S952.67_contig_6640804_7	stress	0.0274376319020281	rank: D;FAD linked oxidases, C-terminal domain [PF02913.24];FAD binding domain [PF01565.28] (db=pfam)	0.0274376319020281	0.00263921276702597	0.0472744854539934
