X932	X933	X934	X935	X937	X938	X939	X940	X941	X942	X943	X944	X945	X946	X947	X948	X949	X950	X951	X952	X953	X954	X955	X956	X957	X958	X959	X960	X961	X962	X963	X964	X965	X966	X967	X968	X969	X970	X971	X972	X973	X974	X975	X976	X978	X979	X980	X981	X982	X983	X984	X985	X986	X987	X988	X989	X990	X991	X992	X993
13	NA	26367.4949331352	NA	17713.5763764051	15445.0805197509	NA	NA	NA	16990.8139468077	NA	NA	13931.7555062003	NA	NA	26306.8738813197	21910.9288169383	NA	NA	NA	12422.204657307	22419.5223053574	NA	NA	NA	NA	25867.7316489183	16125.2893720001	21184.7293337445	14190.8003940666	39228.9256056184	NA	26681.2724019287	25644.5594288442	23203.9504735863	16782.8311218967	NA	NA	21333.0994803956	17812.3613463026	NA	NA	21368.8637947753	21671.9245811135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16998.8464038316	NA	NA	NA	NA	NA	16689.8881797209
14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49955.8169986765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	NA	NA	NA	NA	NA	NA	NA	20087.2841870492	NA	NA	NA	38607.1865309708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52330.5025862063	36630.2398721323	90011.6867651684	NA	NA	NA	NA	NA	NA	NA	NA	39166.6351661263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21959.3295456472	29334.583035698	19221.1590631853	NA	NA
16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53061.131241552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30214.0247640059	NA	NA	NA	NA	NA	NA	NA	NA	37917.771277205	NA	NA	NA	NA	NA	62792.8437797543	NA	54525.0128612988	NA	NA	NA	41680.5010175347	NA	NA	NA	NA	32966.9063388852	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	NA	NA	NA	36640.1204885613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	NA	NA	NA	28581.7166188889	NA	NA	NA	NA	NA	38620.5361989741	28394.6804123214	NA	NA	189779.688017437	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19451.7840598767	NA	NA	NA	25430.2207112288	NA	NA	NA	NA	NA	NA	NA	NA	50070.8349219474	NA	NA	NA	19667.2269777691	NA	NA	51921.0172474732	NA	NA	NA	NA	NA	22305.4613460145	NA	NA	NA	24044.1630156145	46675.0997803239	NA	NA	21197.1824442995	NA
20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56494.3532615711	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48423.8067694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	NA	NA	NA	NA	20434.2375057526	NA	NA	NA	43157.2982988498	34482.7776722108	23011.6532957973	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22482.7747432421	NA	NA	NA	NA	NA	NA	NA	NA	13114.6280845657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16046.8887711397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28264.977052728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34156.6152005899	NA	NA	NA	NA	NA	NA	NA	NA
23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27821.1983457017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66093.3946168608	NA	NA	NA	NA	NA
24	NA	NA	NA	NA	NA	NA	NA	NA	26733.4769009921	NA	NA	NA	NA	34680.5367726618	NA	NA	32538.5952773985	NA	NA	NA	NA	NA	NA	NA	239362.455803274	NA	NA	NA	NA	NA	91494.0305995066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40621.3305360378	NA	113688.541227765	NA	53156.235501749	NA	NA	NA	NA	NA	NA	25481.4259625456	NA	NA	123745.701855489	68991.5002282226
25	NA	NA	NA	NA	NA	NA	10319.3403120832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8572.0238622071	NA	NA	NA	NA	NA	NA
26	123333.787504653	139316.903588222	172309.627171274	NA	107652.941421011	145018.924383313	137247.792182182	159295.431631392	63550.0861517077	68450.2853937416	65502.6074803654	NA	NA	NA	44062.6312172583	101929.948666082	152488.192747846	85586.3848267198	145899.113074061	107321.976104591	94567.7311456159	NA	150479.486560312	NA	84734.4362109722	47630.7648259681	60835.7407925493	99025.8879513286	116835.70502878	114588.198161769	74199.9479412218	NA	41974.3583181406	NA	NA	53852.3089125124	55219.9526710841	NA	69966.1694732211	61462.0690638098	NA	49769.1265546651	51633.9235319776	NA	92353.4841290746	123012.659252977	67650.3932189583	52630.0271410657	94853.7209026693	96911.7826509145	85144.4286880459	58125.1042942527	109220.426002726	97263.8661277975	NA	174761.007644803	100062.661433295	170302.14082117	115191.362744898	51731.6673438801
27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25282.6191544311	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	NA	NA	NA	19050.1785493594	NA	NA	NA	NA	11656.4861205749	NA	27336.1515298218	NA	NA	NA	23135.2278656459	51895.0765276844	67493.2531916565	83309.2747973655	NA	73129.0676703876	24096.5273487498	NA	25853.0302417667	26393.0071832767	39875.6202028226	34042.962521663	14905.1324594468	30136.2320289194	NA	NA	24602.8257933867	39999.9392878349	39323.5348345712	36327.9242503124	35907.4405225286	34778.1744342506	36600.7349787434	47113.1708269514	68088.6255344391	29261.5884402173	NA	NA	73091.3714134545	42323.1591387066	64328.4934153006	34525.4751649237	49413.8063880085	75393.9839974137	41925.5250021333	54850.5483053328	67371.2954622707	55278.5701344029	84377.9400841389	90513.3642535822	46995.7816218318	40047.2445085658	51789.8683544955	44860.064475057	45634.2366867633	83158.9580055045
